BAP_Hash,Tanggal,Toko_Hash,Sparepart,Quantity,Harga
40f8d6d2,2025-08-02,df104c4c,SENSOR PANAS,1.0,125000.0
c66bbe9d,2025-08-02,fb3491e1,GEAR RDA,1.0,25000.0
35c71bd7,2025-08-02,1277fd25,SWITCH ON/OFF,1.0,25000.0
35c71bd7,2025-08-02,1277fd25,STEKER,1.0,40000.0
2e00b312,2025-08-02,f5f575ab,HEAD PRINT NEW,1.0,500000.0
07e46896,2025-08-02,b93069b3,CARR UNIT,1.0,80000.0
68c6c6e9,2025-08-02,bca871d1,SEAL KRAN,2.0,8750.0
5c3e9040,2025-08-02,00b1f3ef,BATTERY,1.0,170000.0
9dcbe7e3,2025-08-02,9b3eb59c,BATTERY,1.0,170000.0
30e4c022,2025-08-02,cfa44634,SENSOR PANAS,2.0,125000.0
509694b0,2025-08-02,57b4825c,HEAD PRINT NEW,1.0,500000.0
509694b0,2025-08-02,57b4825c,GEAR RDA,1.0,25000.0
61182f39,2025-08-02,33610dcc,KABEL HEAD PRINT,1.0,25000.0
c2a181d8,2025-08-05,43d95587,KNOP,1.0,25000.0
c2a181d8,2025-08-05,43d95587,KABEL HEAD PRINT,1.0,25000.0
2b9449f3,2025-08-21,0ba5cd4d,SEAL KRAN,1.0,8750.0
aaee0ce5,2025-08-21,fd59c782,SEAL KRAN,2.0,8750.0
a6706398,2025-08-21,fd59c782,SENSOR PANAS,1.0,125000.0
a6706398,2025-08-21,fd59c782,SEAL KRAN,1.0,8750.0
bc8db39f,2025-08-21,8b09cef6,SENSOR PANAS,1.0,125000.0
40962624,2025-08-21,e44f04f1,SENSOR PANAS,1.0,125000.0
ccbcd0d6,2025-08-21,7656fa5d,SENSOR PANAS,1.0,125000.0
42c60249,2025-08-21,2b509625,HEAD PRINT NEW,1.0,500000.0
0c658eb5,2025-08-21,8d85a958,KABEL HEAD PRINT,1.0,25000.0
64d095f2,2025-08-21,05e65e21,BATTERY,1.0,170000.0
d3b913cd,2025-08-21,be0ed52a,BATTERY,1.0,170000.0
a8cee66e,2025-08-21,fd59c782,HEAD PRINT NEW,1.0,500000.0
4099ed5b,2025-08-21,4facb958,SENSOR PANAS,1.0,125000.0
86ab8cbe,2025-08-21,0e9d1642,HEAD PRINT NEW,1.0,500000.0
b6bc077d,2025-08-21,429940d0,BATTERY,2.0,170000.0
f15223dc,2025-08-21,429940d0,BATTERY,1.0,170000.0
c78961d3,2025-08-21,99ae37eb,Power Supply,1.0,300000.0
9b6c13f0,2025-08-21,9221beb2,HEAD PRINT NEW,1.0,500000.0
df56bc06,2025-08-21,d2a7ccca,GEAR KOMBINASI,1.0,25000.0
ca0cec7f,2025-08-21,cb031b36,GEAR RDA,1.0,25000.0
9168e847,2025-08-21,da4a296d,SEAL KRAN,1.0,8750.0
